company,country,city,email,website,contact_name,segment,source_url,verified,notes
SOTC Travel,India,Mumbai,groups@sotc.in,https://www.sotc.in,,India-group,https://www.sotc.in,Y,Group holidays desk; MICE incentive.travel@sotc.in already contacted
Pan Pacific Travel,Philippines,Makati,info@panpacifictravel.com.ph,https://www.panpacifictravel.com.ph,,Asia-group,https://www.panpacifictravel.com.ph/contact-us,Y,IATA; outbound group tours
Travelite Express,Philippines,Makati,info@travelite.com.ph,https://www.travelite.com.ph,,Asia-group,https://www.travelite.com.ph/contact-us,Y,Outbound GIT specialist Philippines
MNG Turizm,Turkey,Istanbul,info@mngturizm.com,https://www.mngturizm.com,,MICE-TMC,https://www.mngturizm.com/iletisim,Y,A-Group IATA tour operator; Uzbekistan-Kazakhstan Silk Road packages
Petra Travel & Tourism (Jordan),Jordan,Amman,info@petratravel.com,https://www.petratravel.com,,MICE-TMC,https://www.petratravel.com,Y,Jordan outbound/incoming; group tour operator
Atlas Voyages (Morocco),Morocco,Casablanca,contact@atlasvoyages.com,https://www.atlasvoyages.com,,MICE-TMC,https://www.atlasvoyages.com,Y,Leading Moroccan TMC; outbound group travel
Go Russia Ltd,United Kingdom,London,info@justgorussia.co.uk,https://www.justgorussia.co.uk,,CIS-desk,https://www.justgorussia.co.uk/pdf/SR-08.pdf,Y,5-Stans Silk Road group tour SR-08; Kazakhstan segment
Wendy Wu Tours UK,United Kingdom,London,info@wendywutours.co.uk,https://www.wendywutours.co.uk,,Asia-group,https://www.wendywutours.co.uk/contact-us,Y,Journey through Central Asia 27D group incl. Almaty
Wild Frontiers Travel,United Kingdom,London,info@wildfrontierstravel.com,https://www.wildfrontierstravel.com,,Asia-group,https://www.wildfrontierstravel.com/en_GB/contact-us,Y,Small group max 12; Kazakhstan destination expert
Steppes Travel,United Kingdom,Cirencester,info@steppestravel.com,https://www.steppestravel.com,,Asia-group,https://www.steppestravel.com,Y,Central Asia Silk Route expert-led group tours
DeWonder Travel,Hong Kong,Sheung Wan,info@dewonder.travel,https://dewonder.travel,,Asia-group,https://dewonder.travel/central-asia/,Y,Silk Road specialist; small team Central Asia depth tours
EGL Tours,Hong Kong,Mong Kok,egltours@egltours.com,https://www.egltours.com,,Asia-group,https://www.egltours.com,Y,Major HK outbound; Europe Central Asia Africa group tours
Hayatun Tour,Indonesia,Jakarta,info@hayatuntour.com,https://www.hayatuntour.com,,halal-Asia,https://www.hayatuntour.com/paket/paket-tour-uzbekistan-8-hari-halal-hayatun-tour-2026/,Y,Halal Uzbekistan 8D; hayatuntour@gmail.com blocked
KOP Travel,Malaysia,Kuala Lumpur,info@koptravel.com.my,https://www.koptravel.com.my,,halal-Asia,https://www.koptravel.com.my,Y,MATTA member outbound operator
EU Holidays,Singapore,Singapore,enquiry@euholidays.com.sg,https://www.euholidays.com.sg,,Asia-group,https://www.euholidays.com.sg/contact-us,Y,sales@euholidays.com.sg blocked; enquiry desk
Asia Exotic Expeditions,Singapore,Singapore,tours@asiaexotic.com,https://www.asiaexotic.com,,Asia-group,https://www.asiaexotic.com,Y,admin@asia-expeditions.org blocked; different entity
Nam Ho Travel,Singapore,Singapore,info@namho.com.sg,https://www.namho.com.sg,,Asia-group,https://www.namho.com.sg/contact-us,Y,Major SG outbound NATAS member
Blue Horizons Travel & Tours Inc.,Philippines,Makati,info@bluehorizons.travel,https://bluehorizons.travel,,Asia-group,https://bluehorizons.travel/,Y,IATA outbound since 1981; international group tours
Adventure International Tours (AITI),Philippines,Makati,reservations@tdgtravel.ph,https://adventuretravel.ph,,Asia-group,https://adventuretravel.ph/ContactUs/13,Y,Outbound GIT; Makati/BGC/Cebu offices
Premiere Travel and Tours Inc.,Philippines,Makati,anicar@premieretravel.ph,https://www.premieretravel.ph,Frank J Khouri,Asia-group,https://philtoa.com/member_details/premiere-travel-and-tours-inc-2/,Y,PHILTOA/IATA outbound since 1984; alt ptti@premieretravel.ph
FCM Travel Philippines,Philippines,Makati,sales@ph.fcm.travel,https://www.fcmtravel.com,,MICE-TMC,https://www.fcmtravel.com/en-in/about-us/global-network/philippines,Y,Corporate/group bookings; Makati HQ
Lef El Donia Travel,Egypt,Cairo,info@lefeldonia.com,https://www.lefeldonia.com,,MICE-TMC,https://www.lefeldonia.com/,Y,Outgoing travel from Egypt; international group programs
Saigontourist Travel,Vietnam,Ho Chi Minh City,info@saigontourist.net,https://saigontourist.net,,Vietnam-outbound,https://saigontourist.net/page/bao-mat,Y,Major VN outbound; intl license 79-300/2018
Fiditour JSC,Vietnam,Ho Chi Minh City,info@fiditour.com,https://fiditour.com,,Vietnam-outbound,https://fiditour.com/,Y,Large HCMC outbound since 1989; multi-destination groups
Exodus Adventure Travels,United Kingdom,London,privatedepartures@exodus.co.uk,https://www.exodus.co.uk,,Asia-group,https://www.exodustravels.com/private-group-holidays,Y,ATOL 2582; private group departures desk; Asia/Central Asia tours
Regent Holidays,United Kingdom,Bristol,regent@regentholidays.co.uk,https://www.regent-holidays.co.uk,,Asia-group,https://www.regent-holidays.co.uk/assets/Booking%20Conditions/Regent%20Tours%2020%20May%202022%20-%20Booking%20Conditions.pdf,Y,50+ yrs group tours; Central Asia/Silk Road programs
HF Holidays,United Kingdom,Borehamwood,groups@hfholidays.co.uk,https://www.hfholidays.co.uk,,Asia-group,https://www.hfholidays.co.uk/about-us/about-hf-holidays/contact-us,Y,Groups 10+ desk; worldwide discovery holidays
Jules Verne (VJV),United Kingdom,London,agents@vjv.com,https://www.vjv.com,,Asia-group,https://www.vjv.com/travel-agents/,Y,B2B agent desk; small group escorted tours worldwide
Cheria Holiday (PT Cheria),Indonesia,Jakarta,info@cheria-travel.com,https://www.cheria-travel.com,,halal-Asia,https://www.cheria-travel.com/p/peluang.html,Y,IATA halal outbound; partnership page for group tours
Petra Travel and Tourism Co.,Jordan,Amman,awni.kawar@petratours.com,https://www.petratours.com,Awni Kawar,MICE-TMC,https://international.visitjordan.com/page/26/Tour-Operators,Y,55 yrs Jordan operator; MICE/outbound per Visit Jordan directory
Go Jordan Travel and Tourism,Jordan,Amman,info@gojordantours.com,https://www.gojordantours.com,,MICE-TMC,https://international.visitjordan.com/page/26/Tour-Operators,Y,Outbound/incoming Jordan operator; Visit Jordan listed
Mondial Voyages Maroc,Morocco,Casablanca,contact@mondialvoayage.com,http://www.mondialtravelagency.com,,MICE-TMC,http://www.mondialtravelagency.com/about.html,Y,Outgoing Europe/Asia group tours since 1987; Casablanca HQ
Muker Travel,Morocco,Casablanca,contact@mukertravel.com,https://www.mukertour.com,,Asia-group,https://www.mukertour.com/en/h-col-101.html,Y,Outbound operator; Casablanca+Beijing desks; group tours
Jordan Tours & Travel,Jordan,Amman,sales@jordantour-travel.com,https://www.jordantours-travel.com,,MICE-TMC,https://international.visitjordan.com/page/26/Tour-Operators,Y,Outbound/group desk per Visit Jordan operator list
