company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
Atlas Voyages (Morocco),Morocco,Casablanca,contact@atlasvoyages.com,https://www.atlasvoyages.com,https://www.atlasvoyages.com,Multi-destination,B,Leading Moroccan TMC; outbound group travel
Mondial Voyages Maroc,Morocco,Casablanca,contact@mondialvoayage.com,http://www.mondialtravelagency.com,http://www.mondialtravelagency.com/about.html,Multi-destination,B,Outgoing Europe/Asia group tours since 1987; Casablanca HQ
Muker Travel,Morocco,Casablanca,contact@mukertravel.com,https://www.mukertour.com,https://www.mukertour.com/en/h-col-101.html,Central Asia,B,Outbound operator; Casablanca+Beijing desks; group tours
Pan Pacific Travel,Philippines,Makati,info@panpacifictravel.com.ph,https://www.panpacifictravel.com.ph,https://www.panpacifictravel.com.ph/contact-us,Central Asia,B,IATA; outbound group tours
Travelite Express,Philippines,Makati,info@travelite.com.ph,https://www.travelite.com.ph,https://www.travelite.com.ph/contact-us,Central Asia,B,Outbound GIT specialist Philippines
Blue Horizons Travel & Tours Inc.,Philippines,Makati,info@bluehorizons.travel,https://bluehorizons.travel,https://bluehorizons.travel/,Central Asia,B,IATA outbound since 1981; international group tours
Adventure International Tours (AITI),Philippines,Makati,reservations@tdgtravel.ph,https://adventuretravel.ph,https://adventuretravel.ph/ContactUs/13,Central Asia,B,Outbound GIT; Makati/BGC/Cebu offices
Premiere Travel and Tours Inc.,Philippines,Makati,anicar@premieretravel.ph,https://www.premieretravel.ph,https://philtoa.com/member_details/premiere-travel-and-tours-inc-2/,Central Asia,B,PHILTOA/IATA outbound since 1984; alt ptti@premieretravel.ph
FCM Travel Philippines,Philippines,Makati,sales@ph.fcm.travel,https://www.fcmtravel.com,https://www.fcmtravel.com/en-in/about-us/global-network/philippines,Multi-destination,B,Corporate/group bookings; Makati HQ
RAG Tours & Travels,Qatar,Doha,enquiry@ragtoursandtravels.com,https://ragtoursandtravels.com,https://ragtoursandtravels.com/contact-us/,GCC-CIS,B,"IATA agency Doha+Dubai; international tour packages, corporate/group departures; secondary email info@ragroup.qa"
EU Holidays,Singapore,Singapore,enquiry@euholidays.com.sg,https://www.euholidays.com.sg,https://www.euholidays.com.sg/contact-us,Central Asia,B,sales@euholidays.com.sg blocked; enquiry desk
Asia Exotic Expeditions,Singapore,Singapore,tours@asiaexotic.com,https://www.asiaexotic.com,https://www.asiaexotic.com,Central Asia,B,admin@asia-expeditions.org blocked; different entity
Nam Ho Travel,Singapore,Singapore,info@namho.com.sg,https://www.namho.com.sg,https://www.namho.com.sg/contact-us,Central Asia,B,Major SG outbound NATAS member
MNG Turizm,Turkey,Istanbul,info@mngturizm.com,https://www.mngturizm.com,https://www.mngturizm.com/iletisim,Multi-destination,B,A-Group IATA tour operator; Uzbekistan-Kazakhstan Silk Road packages
HF Holidays,United Kingdom,Borehamwood,groups@hfholidays.co.uk,https://www.hfholidays.co.uk,https://www.hfholidays.co.uk/about-us/about-hf-holidays/contact-us,Central Asia,B,Groups 10+ desk; worldwide discovery holidays
Jules Verne (VJV),United Kingdom,London,agents@vjv.com,https://www.vjv.com,https://www.vjv.com/travel-agents/,Central Asia,B,B2B agent desk; small group escorted tours worldwide
Saigontourist Travel,Vietnam,Ho Chi Minh City,info@saigontourist.net,https://saigontourist.net,https://saigontourist.net/page/bao-mat,Central Asia,B,Major VN outbound; intl license 79-300/2018
Fiditour JSC,Vietnam,Ho Chi Minh City,info@fiditour.com,https://fiditour.com,https://fiditour.com/,Central Asia,B,Large HCMC outbound since 1989; multi-destination groups
