company,country,city,email,website,verified_source_url,product_fit,priority_A_B_C,notes
Premiere Travel and Tours Inc.,Philippines,Makati,anicar@premieretravel.ph,https://www.premieretravel.ph,https://philtoa.com/member_details/premiere-travel-and-tours-inc-2/,Central Asia,B,PHILTOA/IATA outbound since 1984; alt ptti@premieretravel.ph
FCM Travel Philippines,Philippines,Makati,sales@ph.fcm.travel,https://www.fcmtravel.com,https://www.fcmtravel.com/en-in/about-us/global-network/philippines,Multi-destination,B,Corporate/group bookings; Makati HQ
Lef El Donia Travel,Egypt,Cairo,info@lefeldonia.com,https://www.lefeldonia.com,https://www.lefeldonia.com/,Multi-destination,B,Outgoing travel from Egypt; international group programs
Saigontourist Travel,Vietnam,Ho Chi Minh City,info@saigontourist.net,https://saigontourist.net,https://saigontourist.net/page/bao-mat,Central Asia,B,Major VN outbound; intl license 79-300/2018
Fiditour JSC,Vietnam,Ho Chi Minh City,info@fiditour.com,https://fiditour.com,https://fiditour.com/,Central Asia,B,Large HCMC outbound since 1989; multi-destination groups
Exodus Adventure Travels,United Kingdom,London,privatedepartures@exodus.co.uk,https://www.exodus.co.uk,https://www.exodustravels.com/private-group-holidays,Central Asia,A,ATOL 2582; private group departures desk; Asia/Central Asia tours
Regent Holidays,United Kingdom,Bristol,regent@regentholidays.co.uk,https://www.regent-holidays.co.uk,https://www.regent-holidays.co.uk/assets/Booking%20Conditions/Regent%20Tours%2020%20May%202022%20-%20Booking%20Conditions.pdf,Central Asia,A,50+ yrs group tours; Central Asia/Silk Road programs
HF Holidays,United Kingdom,Borehamwood,groups@hfholidays.co.uk,https://www.hfholidays.co.uk,https://www.hfholidays.co.uk/about-us/about-hf-holidays/contact-us,Central Asia,B,Groups 10+ desk; worldwide discovery holidays
Jules Verne (VJV),United Kingdom,London,agents@vjv.com,https://www.vjv.com,https://www.vjv.com/travel-agents/,Central Asia,B,B2B agent desk; small group escorted tours worldwide
Cheria Holiday (PT Cheria),Indonesia,Jakarta,info@cheria-travel.com,https://www.cheria-travel.com,https://www.cheria-travel.com/p/peluang.html,Halal-KZ,B,IATA halal outbound; partnership page for group tours
Petra Travel and Tourism Co.,Jordan,Amman,awni.kawar@petratours.com,https://www.petratours.com,https://international.visitjordan.com/page/26/Tour-Operators,Multi-destination,B,55 yrs Jordan operator; MICE/outbound per Visit Jordan directory
Go Jordan Travel and Tourism,Jordan,Amman,info@gojordantours.com,https://www.gojordantours.com,https://international.visitjordan.com/page/26/Tour-Operators,Multi-destination,B,Outbound/incoming Jordan operator; Visit Jordan listed
Mondial Voyages Maroc,Morocco,Casablanca,contact@mondialvoayage.com,http://www.mondialtravelagency.com,http://www.mondialtravelagency.com/about.html,Multi-destination,B,Outgoing Europe/Asia group tours since 1987; Casablanca HQ
Muker Travel,Morocco,Casablanca,contact@mukertravel.com,https://www.mukertour.com,https://www.mukertour.com/en/h-col-101.html,Central Asia,B,Outbound operator; Casablanca+Beijing desks; group tours
Jordan Tours & Travel,Jordan,Amman,sales@jordantour-travel.com,https://www.jordantours-travel.com,https://international.visitjordan.com/page/26/Tour-Operators,Multi-destination,B,Outbound/group desk per Visit Jordan operator list
